time,delay_ms
2.00279,2
2.75279,2
3.50279,2
4.25279,2
5.00279,2
5.75279,2
6.52361,23
7.27361,23
8.02361,23
8.77361,23
9.50279,2
10.2528,2
11.0028,2
11.7528,2
12.5028,2
13.2528,2
